run_uuid,key,value
7da8c29a4ecd44648cb1aa3de03ee539,learning_rate,0.0001
7da8c29a4ecd44648cb1aa3de03ee539,batch_size,16
7da8c29a4ecd44648cb1aa3de03ee539,num_epochs,100
7da8c29a4ecd44648cb1aa3de03ee539,num_classes,10
7da8c29a4ecd44648cb1aa3de03ee539,preprocessing,seg_hard
7da8c29a4ecd44648cb1aa3de03ee539,training_mode,species_only
7da8c29a4ecd44648cb1aa3de03ee539,seed,456
7da8c29a4ecd44648cb1aa3de03ee539,lambda_sex,0.3
7da8c29a4ecd44648cb1aa3de03ee539,lambda_form,0.2
7da8c29a4ecd44648cb1aa3de03ee539,num_params_M,10.71
7da8c29a4ecd44648cb1aa3de03ee539,inference_ms,19.96
8232cb1fe7224293a92d495d85f33238,architecture,efficientnet_b3
8232cb1fe7224293a92d495d85f33238,learning_rate,0.0001
8232cb1fe7224293a92d495d85f33238,batch_size,16
8232cb1fe7224293a92d495d85f33238,num_epochs,100
8232cb1fe7224293a92d495d85f33238,num_classes,10
8232cb1fe7224293a92d495d85f33238,preprocessing,seg_hard
8232cb1fe7224293a92d495d85f33238,training_mode,multi_task
8232cb1fe7224293a92d495d85f33238,seed,42
8232cb1fe7224293a92d495d85f33238,lambda_sex,0.3
8232cb1fe7224293a92d495d85f33238,lambda_form,0.2
8232cb1fe7224293a92d495d85f33238,num_params_M,10.72
8232cb1fe7224293a92d495d85f33238,inference_ms,16.27
91670c336b7845f8b8392a345ab38014,architecture,efficientnet_b3
91670c336b7845f8b8392a345ab38014,learning_rate,0.0001
91670c336b7845f8b8392a345ab38014,batch_size,16
91670c336b7845f8b8392a345ab38014,num_epochs,100
91670c336b7845f8b8392a345ab38014,num_classes,10
91670c336b7845f8b8392a345ab38014,preprocessing,seg_hard
91670c336b7845f8b8392a345ab38014,training_mode,multi_task
91670c336b7845f8b8392a345ab38014,seed,123
91670c336b7845f8b8392a345ab38014,lambda_sex,0.3
91670c336b7845f8b8392a345ab38014,lambda_form,0.2
91670c336b7845f8b8392a345ab38014,num_params_M,10.72
91670c336b7845f8b8392a345ab38014,inference_ms,13.73
f9184dcfa7fe41ed884ec7a0cc7b1c53,architecture,efficientnet_b3
f9184dcfa7fe41ed884ec7a0cc7b1c53,learning_rate,0.0001
f9184dcfa7fe41ed884ec7a0cc7b1c53,batch_size,16
f9184dcfa7fe41ed884ec7a0cc7b1c53,num_epochs,100
f9184dcfa7fe41ed884ec7a0cc7b1c53,num_classes,10
f9184dcfa7fe41ed884ec7a0cc7b1c53,preprocessing,seg_hard
f9184dcfa7fe41ed884ec7a0cc7b1c53,training_mode,multi_task
f9184dcfa7fe41ed884ec7a0cc7b1c53,seed,456
f9184dcfa7fe41ed884ec7a0cc7b1c53,lambda_sex,0.3
f9184dcfa7fe41ed884ec7a0cc7b1c53,lambda_form,0.2
f9184dcfa7fe41ed884ec7a0cc7b1c53,num_params_M,10.72
f9184dcfa7fe41ed884ec7a0cc7b1c53,inference_ms,17.12
2aaa05b78d724930b7da9792468267ed,architecture,efficientnet_b3
2aaa05b78d724930b7da9792468267ed,learning_rate,0.0001
2aaa05b78d724930b7da9792468267ed,batch_size,16
2aaa05b78d724930b7da9792468267ed,num_epochs,100
2aaa05b78d724930b7da9792468267ed,num_classes,10
2aaa05b78d724930b7da9792468267ed,preprocessing,seg_soft
2aaa05b78d724930b7da9792468267ed,training_mode,species_only
2aaa05b78d724930b7da9792468267ed,seed,42
2aaa05b78d724930b7da9792468267ed,lambda_sex,0.3
2aaa05b78d724930b7da9792468267ed,lambda_form,0.2
2aaa05b78d724930b7da9792468267ed,num_params_M,10.71
2aaa05b78d724930b7da9792468267ed,inference_ms,15.6
7e38bd9c24e14c48b4f264b4e10170c0,architecture,efficientnet_b3
7e38bd9c24e14c48b4f264b4e10170c0,learning_rate,0.0001
7e38bd9c24e14c48b4f264b4e10170c0,batch_size,16
7e38bd9c24e14c48b4f264b4e10170c0,num_epochs,100
7e38bd9c24e14c48b4f264b4e10170c0,num_classes,10
7e38bd9c24e14c48b4f264b4e10170c0,preprocessing,seg_soft
7e38bd9c24e14c48b4f264b4e10170c0,training_mode,species_only
7e38bd9c24e14c48b4f264b4e10170c0,seed,123
7e38bd9c24e14c48b4f264b4e10170c0,lambda_sex,0.3
7e38bd9c24e14c48b4f264b4e10170c0,lambda_form,0.2
7e38bd9c24e14c48b4f264b4e10170c0,num_params_M,10.71
7e38bd9c24e14c48b4f264b4e10170c0,inference_ms,18.94
79750ebaf2ba45e581c43ffa68d35722,architecture,efficientnet_b3
79750ebaf2ba45e581c43ffa68d35722,learning_rate,0.0001
79750ebaf2ba45e581c43ffa68d35722,batch_size,16
79750ebaf2ba45e581c43ffa68d35722,num_epochs,100
79750ebaf2ba45e581c43ffa68d35722,num_classes,10
79750ebaf2ba45e581c43ffa68d35722,preprocessing,seg_soft
79750ebaf2ba45e581c43ffa68d35722,training_mode,species_only
79750ebaf2ba45e581c43ffa68d35722,seed,456
79750ebaf2ba45e581c43ffa68d35722,lambda_sex,0.3
79750ebaf2ba45e581c43ffa68d35722,lambda_form,0.2
79750ebaf2ba45e581c43ffa68d35722,num_params_M,10.71
79750ebaf2ba45e581c43ffa68d35722,inference_ms,13.58
0cfb4194006d489eb4429581c816b1ec,architecture,efficientnet_b3
0cfb4194006d489eb4429581c816b1ec,learning_rate,0.0001
0cfb4194006d489eb4429581c816b1ec,batch_size,16
0cfb4194006d489eb4429581c816b1ec,num_epochs,100
0cfb4194006d489eb4429581c816b1ec,num_classes,10
0cfb4194006d489eb4429581c816b1ec,preprocessing,seg_soft
0cfb4194006d489eb4429581c816b1ec,training_mode,multi_task
0cfb4194006d489eb4429581c816b1ec,seed,42
0cfb4194006d489eb4429581c816b1ec,lambda_sex,0.3
0cfb4194006d489eb4429581c816b1ec,lambda_form,0.2
0cfb4194006d489eb4429581c816b1ec,num_params_M,10.72
0cfb4194006d489eb4429581c816b1ec,inference_ms,12.35
b5a9a5b1e8274b22b3ac0a14291b4a55,architecture,efficientnet_b3
b5a9a5b1e8274b22b3ac0a14291b4a55,learning_rate,0.0001
b5a9a5b1e8274b22b3ac0a14291b4a55,batch_size,16
b5a9a5b1e8274b22b3ac0a14291b4a55,num_epochs,100
b5a9a5b1e8274b22b3ac0a14291b4a55,num_classes,10
b5a9a5b1e8274b22b3ac0a14291b4a55,preprocessing,seg_soft
b5a9a5b1e8274b22b3ac0a14291b4a55,training_mode,multi_task
b5a9a5b1e8274b22b3ac0a14291b4a55,seed,123
b5a9a5b1e8274b22b3ac0a14291b4a55,lambda_sex,0.3
b5a9a5b1e8274b22b3ac0a14291b4a55,lambda_form,0.2
b5a9a5b1e8274b22b3ac0a14291b4a55,num_params_M,10.72
b5a9a5b1e8274b22b3ac0a14291b4a55,inference_ms,12.82
f593a3ded6f040b9865f08ed114608f0,architecture,efficientnet_b3
f593a3ded6f040b9865f08ed114608f0,learning_rate,0.0001
f593a3ded6f040b9865f08ed114608f0,batch_size,16
f593a3ded6f040b9865f08ed114608f0,num_epochs,100
f593a3ded6f040b9865f08ed114608f0,num_classes,10
f593a3ded6f040b9865f08ed114608f0,preprocessing,seg_soft
f593a3ded6f040b9865f08ed114608f0,training_mode,multi_task
f593a3ded6f040b9865f08ed114608f0,seed,456
f593a3ded6f040b9865f08ed114608f0,lambda_sex,0.3
f593a3ded6f040b9865f08ed114608f0,lambda_form,0.2
f593a3ded6f040b9865f08ed114608f0,num_params_M,10.72
f593a3ded6f040b9865f08ed114608f0,inference_ms,19.38
89537c50fc994b758bb9a6840ca9ccaf,architecture,swin_tiny
89537c50fc994b758bb9a6840ca9ccaf,learning_rate,0.0001
89537c50fc994b758bb9a6840ca9ccaf,batch_size,16
89537c50fc994b758bb9a6840ca9ccaf,num_epochs,100
89537c50fc994b758bb9a6840ca9ccaf,num_classes,10
89537c50fc994b758bb9a6840ca9ccaf,preprocessing,full
89537c50fc994b758bb9a6840ca9ccaf,training_mode,species_only
89537c50fc994b758bb9a6840ca9ccaf,seed,42
89537c50fc994b758bb9a6840ca9ccaf,lambda_sex,0.3
89537c50fc994b758bb9a6840ca9ccaf,lambda_form,0.2
89537c50fc994b758bb9a6840ca9ccaf,num_params_M,27.53
89537c50fc994b758bb9a6840ca9ccaf,inference_ms,17.4
e5157128e9b04d6098650a1f774b3fd5,architecture,swin_tiny
e5157128e9b04d6098650a1f774b3fd5,learning_rate,0.0001
e5157128e9b04d6098650a1f774b3fd5,batch_size,16
e5157128e9b04d6098650a1f774b3fd5,num_epochs,100
e5157128e9b04d6098650a1f774b3fd5,num_classes,10
e5157128e9b04d6098650a1f774b3fd5,preprocessing,full
e5157128e9b04d6098650a1f774b3fd5,training_mode,species_only
e5157128e9b04d6098650a1f774b3fd5,seed,123
e5157128e9b04d6098650a1f774b3fd5,lambda_sex,0.3
e5157128e9b04d6098650a1f774b3fd5,lambda_form,0.2
e5157128e9b04d6098650a1f774b3fd5,num_params_M,27.53
e5157128e9b04d6098650a1f774b3fd5,inference_ms,19.31
a44f9bb0a7fb49af80181d3b6ecd14d1,architecture,swin_tiny
a44f9bb0a7fb49af80181d3b6ecd14d1,learning_rate,0.0001
a44f9bb0a7fb49af80181d3b6ecd14d1,batch_size,16
a44f9bb0a7fb49af80181d3b6ecd14d1,num_epochs,100
a44f9bb0a7fb49af80181d3b6ecd14d1,num_classes,10
a44f9bb0a7fb49af80181d3b6ecd14d1,preprocessing,full
a44f9bb0a7fb49af80181d3b6ecd14d1,training_mode,species_only
a44f9bb0a7fb49af80181d3b6ecd14d1,seed,456
a44f9bb0a7fb49af80181d3b6ecd14d1,lambda_sex,0.3
a44f9bb0a7fb49af80181d3b6ecd14d1,lambda_form,0.2
a44f9bb0a7fb49af80181d3b6ecd14d1,num_params_M,27.53
a44f9bb0a7fb49af80181d3b6ecd14d1,inference_ms,18.18
54194cf6a0fa4c0a83fca4ae3994f900,architecture,swin_tiny
54194cf6a0fa4c0a83fca4ae3994f900,learning_rate,0.0001
54194cf6a0fa4c0a83fca4ae3994f900,batch_size,16
54194cf6a0fa4c0a83fca4ae3994f900,num_epochs,100
54194cf6a0fa4c0a83fca4ae3994f900,num_classes,10
54194cf6a0fa4c0a83fca4ae3994f900,preprocessing,full
54194cf6a0fa4c0a83fca4ae3994f900,training_mode,multi_task
54194cf6a0fa4c0a83fca4ae3994f900,seed,42
54194cf6a0fa4c0a83fca4ae3994f900,lambda_sex,0.3
54194cf6a0fa4c0a83fca4ae3994f900,lambda_form,0.2
54194cf6a0fa4c0a83fca4ae3994f900,num_params_M,27.53
54194cf6a0fa4c0a83fca4ae3994f900,inference_ms,17.84
7fd19c7d7ceb4597a5c92ab9b7bf7e32,architecture,swin_tiny
